Date,Venue,Barcelona_Goals,Real_Madrid_Goals,Winner,Real_Madrid_Own_Goals,Barcelona_Own_Goals,Barcelona_Scorers,Real_Madrid_Scorers,League,source_file,Barcelona Goals,Real Madrid Goals,Barcelona Scorers Clean,Real Madrid Scorers Clean
1929-02-17,Camp Nou,,,Real Madrid,,,,,La Liga,la_liga,1.0,2.0,Parera,"Morera, Morera"
1929-05-09,Santiago Bernabéu Stadium,,,Barcelona,,,,,La Liga,la_liga,1.0,0.0,Sastre,
1930-01-26,Camp Nou,,,Real Madrid,,,,,La Liga,la_liga,1.0,4.0,Bestit,"Rubio, Rubio, López, Lazcano"
1930-03-30,Santiago Bernabéu Stadium,,,Real Madrid,,,,,La Liga,la_liga,1.0,5.0,Goiburu,"Rubio, Rubio, Lazcano, Lazcano, Lazcano"
1931-02-01,Santiago Bernabéu Stadium,,,Draw,,,,,La Liga,la_liga,0.0,0.0,,
1931-04-05,Camp Nou,,,Barcelona,,,,,La Liga,la_liga,3.0,1.0,"Ramón, Ramón, Ramón",Eugenio
1932-01-31,Santiago Bernabéu Stadium,,,Real Madrid,,,,,La Liga,la_liga,0.0,2.0,,"Olivares, Olivares"
1932-04-03,Camp Nou,,,Draw,,,,,La Liga,la_liga,2.0,2.0,Samitier,"Lazcano, Regueiro"
1933-01-01,Camp Nou,,,Draw,,,,,La Liga,la_liga,1.0,1.0,Arocha,
1933-03-05,Santiago Bernabéu Stadium,,,Real Madrid,,,,,La Liga,la_liga,1.0,2.0,Goiburu,"Samitier, Samitier"
1933-11-26,Camp Nou,,,Real Madrid,,,,,La Liga,la_liga,1.0,2.0,Morera,"Olivares, Regueiro"
1934-01-28,Santiago Bernabéu Stadium,,,Real Madrid,,,,,La Liga,la_liga,0.0,4.0,,"Valle, Samitier, Regueiro, Eugenio"
1935-02-03,Santiago Bernabéu Stadium,,,Real Madrid,,,,,La Liga,la_liga,2.0,8.0,"Escolà, Guzmán","Lazcano, Lazcano, Lazcano, Sañudo, Sañudo, Sañudo, Sañudo, Regueiro"
1935-04-21,Camp Nou,,,Barcelona,,,,,La Liga,la_liga,5.0,0.0,"Ventolrà, Ventolrà, Ventolrà, Ventolrà, Escolà",
1935-12-22,Camp Nou,,,Real Madrid,,,,,La Liga,la_liga,0.0,3.0,,"Regueiro, Diz, Lecue"
1936-03-22,Santiago Bernabéu Stadium,,,Real Madrid,,,,,La Liga,la_liga,0.0,3.0,,"Lecue, Lecue, Emilin"
1940-01-28,Santiago Bernabéu Stadium,,,Real Madrid,,,,,La Liga,la_liga,1.0,2.0,Pascual,"Alonso, Lecue"
1940-04-14,Camp Nou,,,Draw,,,,,La Liga,la_liga,0.0,0.0,,
1940-12-01,Camp Nou,,,Barcelona,,,,,La Liga,la_liga,3.0,0.0,"Sospedra, Sospedra, Mas",
1941-02-23,Santiago Bernabéu Stadium,,,Barcelona,,,,,La Liga,la_liga,2.0,1.0,"Bravo, Martín",Barinaga
1941-10-19,Santiago Bernabéu Stadium,,,Real Madrid,,,,,La Liga,la_liga,3.0,4.0,"Calvet, Gracia","Arbiza, Arbiza, Belmar"
1942-01-25,Camp Nou,,,Real Madrid,,,,,La Liga,la_liga,0.0,2.0,,"Alday, Alday"
1942-09-27,Santiago Bernabéu Stadium,,,Real Madrid,,,,,La Liga,la_liga,0.0,3.0,,"Arbiza, Arbiza, Alsúa"
