Date,Venue,Barcelona_Goals,Real_Madrid_Goals,Winner,Real_Madrid_Own_Goals,Barcelona_Own_Goals,Barcelona_Scorers,Real_Madrid_Scorers,League,source_file,Barcelona Goals,Real Madrid Goals,Barcelona Scorers Clean,Real Madrid Scorers Clean
2012-04-21,Camp Nou,,,Real Madrid,,,,,La Liga,la_liga,1.0,2.0,Sánchez,"Khedira, Ronaldo"
2012-10-07,Camp Nou,,,Draw,,,,,La Liga,la_liga,2.0,2.0,"Messi, Messi","Ronaldo, Ronaldo"
2013-03-02,Santiago Bernabéu Stadium,,,Real Madrid,,,,,La Liga,la_liga,1.0,2.0,Messi,"Benzema, Ramos"
2013-10-26,Camp Nou,,,Barcelona,,,,,La Liga,la_liga,2.0,1.0,"Neymar, Sánchez",Jesé
2014-03-23,Santiago Bernabéu Stadium,,,Barcelona,,,,,La Liga,la_liga,4.0,3.0,Iniesta,"Benzema, Benzema"
2014-10-25,Santiago Bernabéu Stadium,,,Real Madrid,,,,,La Liga,la_liga,1.0,3.0,Neymar,"Pepe, Benzema"
2015-03-22,Camp Nou,,,Barcelona,,,,,La Liga,la_liga,2.0,1.0,"Mathieu, Suárez",Ronaldo
2015-11-21,Santiago Bernabéu Stadium,,,Barcelona,,,,,La Liga,la_liga,4.0,0.0,"Suárez, Suárez, Neymar, Iniesta",
2016-04-02,Camp Nou,,,Real Madrid,,,,,La Liga,la_liga,1.0,2.0,Piqué,"Benzema, Ronaldo"
2016-12-03,Camp Nou,,,Draw,,,,,La Liga,la_liga,1.0,1.0,Suárez,Ramos
2017-04-23,Santiago Bernabéu Stadium,,,Barcelona,,,,,La Liga,la_liga,3.0,2.0,"Messi, Messi, Rakitić","Casemiro, Rodríguez"
2017-12-23,Santiago Bernabéu Stadium,,,Barcelona,,,,,La Liga,la_liga,3.0,0.0,"Suárez, Vidal",
2018-05-06,Camp Nou,,,Draw,,,,,La Liga,la_liga,2.0,2.0,"Suárez, Messi","Ronaldo, Bale"
2018-10-28,Camp Nou,,,Barcelona,,,,,La Liga,la_liga,5.0,1.0,"Coutinho, Vidal",Marcelo
2019-03-02,Santiago Bernabéu Stadium,,,Barcelona,,,,,La Liga,la_liga,1.0,0.0,Rakitić,
2019-12-18,Camp Nou,,,Draw,,,,,La Liga,la_liga,0.0,0.0,,
2020-03-01,Santiago Bernabéu Stadium,,,Real Madrid,,,,,La Liga,la_liga,0.0,2.0,,"Vinícius, Díaz"
2020-10-24,Camp Nou,,,Real Madrid,,,,,La Liga,la_liga,1.0,3.0,Fati,"Valverde, Modrić"
2021-04-10,Santiago Bernabéu Stadium,,,Real Madrid,,,,,La Liga,la_liga,1.0,2.0,Mingueza,"Benzema, Kroos"
2021-10-24,Camp Nou,,,Real Madrid,,,,,La Liga,la_liga,1.0,2.0,Agüero,"Alaba, Vázquez"
2022-03-20,Santiago Bernabéu Stadium,,,Barcelona,,,,,La Liga,la_liga,4.0,0.0,"Aubameyang, Aubameyang, Araújo, Torres",
2022-10-16,Santiago Bernabéu Stadium,,,Real Madrid,,,,,La Liga,la_liga,1.0,3.0,Torres,"Benzema, Valverde"
2023-03-19,Camp Nou,,,Barcelona,,,,,La Liga,la_liga,2.0,1.0,"Roberto, Kessié",
2023-10-28,Camp Nou,,,Real Madrid,,,,,La Liga,la_liga,1.0,2.0,Gündoğan,"Bellingham, Bellingham"
2024-04-21,Santiago Bernabéu Stadium,,,Real Madrid,,,,,La Liga,la_liga,2.0,3.0,"Christensen, López","Vázquez, Bellingham"
2024-10-26,Santiago Bernabéu Stadium,,,Barcelona,,,,,La Liga,la_liga,4.0,0.0,"Lewandowski, Lewandowski, Yamal, Raphinha",
1988–89,Santiago Bernabéu Stadium,0.0,2.0,Real Madrid,,,,"Míchel, Sánchez",Supercopa,supercopa,,,,
1988–89,Camp Nou,2.0,1.0,Barcelona,,,"Bakero, Bakero",Butragueño,Supercopa,supercopa,,,,
1990–91,Camp Nou,0.0,1.0,Real Madrid,,,,Míchel,Supercopa,supercopa,,,,
1990–91,Santiago Bernabéu Stadium,1.0,4.0,Real Madrid,,,Goikoetxea,"Butragueño, Butragueño, Sánchez, Aragón",Supercopa,supercopa,,,,
1993–94,Santiago Bernabéu Stadium,1.0,3.0,Real Madrid,,,Stoichkov,"Alfonso, Alfonso, Zamorano",Supercopa,supercopa,,,,
1993–94,Camp Nou,1.0,1.0,Draw,,,Bakero,Zamorano,Supercopa,supercopa,,,,
1997–98,Camp Nou,2.0,1.0,Barcelona,,,Nadal,Raúl,Supercopa,supercopa,,,,
1997–98,Santiago Bernabéu Stadium,1.0,4.0,Real Madrid,,,Giovanni,"Raúl, Raúl, Mijatović, Seedorf",Supercopa,supercopa,,,,
2011–12,Santiago Bernabéu Stadium,2.0,2.0,Draw,,,"Villa, Messi","Özil, Alonso",Supercopa,supercopa,,,,
2011–12,Camp Nou,3.0,2.0,Barcelona,,,"Iniesta, Messi, Messi","Ronaldo, Benzema",Supercopa,supercopa,,,,
2012–13,Camp Nou,3.0,2.0,Barcelona,,,"Pedro, Xavi","Ronaldo, María",Supercopa,supercopa,,,,
2012–13,Santiago Bernabéu Stadium,1.0,2.0,Real Madrid,,,Messi,"Higuaín, Ronaldo",Supercopa,supercopa,,,,
2017–18,Camp Nou,1.0,3.0,Real Madrid,,Piqué,,"Ronaldo, Asensio",Supercopa,supercopa,,,,
2017–18,Santiago Bernabéu Stadium,0.0,2.0,Real Madrid,,,,"Asensio, Benzema",Supercopa,supercopa,,,,
2021–22,Camp Nou,2.0,3.0,Real Madrid,,,"Jong, Fati","Vinícius, Benzema, Valverde",Supercopa,supercopa,,,,
2022–23,Santiago Bernabéu Stadium,3.0,1.0,Barcelona,,,"Gavi, Lewandowski, Pedri",Benzema,Supercopa,supercopa,,,,
2023–24,Santiago Bernabéu Stadium,1.0,4.0,Real Madrid,,,Lewandowski,Rodrygo,Supercopa,supercopa,,,,
2024–25,Santiago Bernabéu Stadium,5.0,2.0,Barcelona,,,"Yamal, Raphinha, Raphinha, Balde","Mbappé, Rodrygo",Supercopa,supercopa,,,,
1959–60,Santiago Bernabéu Stadium,1.0,3.0,Real Madrid,,,Martínez,"Stéfano, Stéfano, Puskás",UEFA Championship,uefa,,,,
1959–60,Camp Nou,1.0,3.0,Real Madrid,,,Kocsis,"Puskás, Puskás, Gento",UEFA Championship,uefa,,,,
1960–61,Santiago Bernabéu Stadium,2.0,2.0,Draw,,,,"Mateos, Gento",UEFA Championship,uefa,,,,
1960–61,Camp Nou,2.0,1.0,Barcelona,,,"Vergés, Evaristo",Canário,UEFA Championship,uefa,,,,
2001–02,Camp Nou,0.0,2.0,Real Madrid,,,,"Zidane, McManaman",UEFA Championship,uefa,,,,
2001–02,Santiago Bernabéu Stadium,1.0,1.0,Draw,Helguera,,,Raúl,UEFA Championship,uefa,,,,
2010–11,Santiago Bernabéu Stadium,2.0,0.0,Barcelona,,,"Messi, Messi",,UEFA Championship,uefa,,,,
2010–11,Camp Nou,1.0,1.0,Draw,,,Pedro,Marcelo,UEFA Championship,uefa,,,,
