Date,Venue,League,Winner,Scorer,Team,Real_Madrid_Own_Goal,Barcelona_Own_Goal
23-09-1979,Santiago Bernabeu Stadium,La Liga,Real Madrid,Juanito,Real Madrid,,
23-09-1979,Santiago Bernabeu Stadium,La Liga,Real Madrid,Cunningham,Real Madrid,,
10-02-1980,Camp Nou,La Liga,Real Madrid,Hernandez,Real Madrid,,
10-02-1980,Camp Nou,La Liga,Real Madrid,Santillana,Real Madrid,,
30-11-1980,Camp Nou,La Liga,Barcelona,Schuster,Barcelona,,
30-11-1980,Camp Nou,La Liga,Barcelona,Quini,Barcelona,,
30-11-1980,Camp Nou,La Liga,Barcelona,Juanito,Real Madrid,,
29-03-1981,Santiago Bernabeu Stadium,La Liga,Real Madrid,Juanito,Real Madrid,,
29-03-1981,Santiago Bernabeu Stadium,La Liga,Real Madrid,Santillana,Real Madrid,,
29-03-1981,Santiago Bernabeu Stadium,La Liga,Real Madrid,Stielike,Real Madrid,,
20-12-1981,Camp Nou,La Liga,Barcelona,Alexanko,Barcelona,,
20-12-1981,Camp Nou,La Liga,Barcelona,Quini,Barcelona,,
20-12-1981,Camp Nou,La Liga,Barcelona,Quini,Barcelona,,
20-12-1981,Camp Nou,La Liga,Barcelona,Juanito,Real Madrid,,
18-04-1982,Santiago Bernabeu Stadium,La Liga,Real Madrid,Quini,Barcelona,,
18-04-1982,Santiago Bernabeu Stadium,La Liga,Real Madrid,Cortes,Real Madrid,,
18-04-1982,Santiago Bernabeu Stadium,La Liga,Real Madrid,Stielike,Real Madrid,,
18-04-1982,Santiago Bernabeu Stadium,La Liga,Real Madrid,Isidro,Real Madrid,,
27-11-1982,Santiago Bernabeu Stadium,La Liga,Barcelona,Vigo,Barcelona,,
27-11-1982,Santiago Bernabeu Stadium,La Liga,Barcelona,Quini,Barcelona,,
26-03-1983,Camp Nou,La Liga,Barcelona,Maradona,Barcelona,,
26-03-1983,Camp Nou,La Liga,Barcelona,Periko Alonso,Barcelona,,
26-03-1983,Camp Nou,La Liga,Barcelona,Juanito,Real Madrid,,
04-06-1983,La Romareda Stadium,Copa Del Rey,Barcelona,Victor,Barcelona,,
04-06-1983,La Romareda Stadium,Copa Del Rey,Barcelona,Marcos,Barcelona,,
