Date,Venue,League,Winner,Scorer,Team,Real_Madrid_Own_Goal,Barcelona_Own_Goal
15-01-1950,Camp Nou,La Liga,Real Madrid,Pahino,Real Madrid,,
15-01-1950,Camp Nou,La Liga,Real Madrid,Verdu,Real Madrid,,
15-01-1950,Camp Nou,La Liga,Real Madrid,Cabrera,Real Madrid,,
24-09-1950,Camp Nou,La Liga,Barcelona,Nicolau,Barcelona,,
24-09-1950,Camp Nou,La Liga,Barcelona,Nicolau,Barcelona,,
24-09-1950,Camp Nou,La Liga,Barcelona,Cesar,Barcelona,,
24-09-1950,Camp Nou,La Liga,Barcelona,Aurelio,Barcelona,,
24-09-1950,Camp Nou,La Liga,Barcelona,Aurelio,Barcelona,,
24-09-1950,Camp Nou,La Liga,Barcelona,Mariano Gonzalvo,Barcelona,,
24-09-1950,Camp Nou,La Liga,Barcelona,Basora,Barcelona,,
24-09-1950,Camp Nou,La Liga,Barcelona,Molowny,Real Madrid,,
24-09-1950,Camp Nou,La Liga,Barcelona,Gonzalez,Real Madrid,,
14-01-1951,Santiago Bernabeu Stadium,La Liga,Real Madrid,Canal,Barcelona,,
14-01-1951,Santiago Bernabeu Stadium,La Liga,Real Madrid,Narro,Real Madrid,,
14-01-1951,Santiago Bernabeu Stadium,La Liga,Real Madrid,Narro,Real Madrid,,
14-01-1951,Santiago Bernabeu Stadium,La Liga,Real Madrid,Narro,Real Madrid,,
14-01-1951,Santiago Bernabeu Stadium,La Liga,Real Madrid,Pahino,Real Madrid,,
11-11-1951,Santiago Bernabeu Stadium,La Liga,Real Madrid,Basora,Barcelona,,
11-11-1951,Santiago Bernabeu Stadium,La Liga,Real Madrid,Molowny,Real Madrid,,
11-11-1951,Santiago Bernabeu Stadium,La Liga,Real Madrid,Cabrera,Real Madrid,,
11-11-1951,Santiago Bernabeu Stadium,La Liga,Real Madrid,Pahino,Real Madrid,,
11-11-1951,Santiago Bernabeu Stadium,La Liga,Real Madrid,Pahino,Real Madrid,,
11-11-1951,Santiago Bernabeu Stadium,La Liga,Real Madrid,Olsen,Real Madrid,,
02-03-1952,Camp Nou,La Liga,Barcelona,Soler,Barcelona,,
02-03-1952,Camp Nou,La Liga,Barcelona,Cesar,Barcelona,,
02-03-1952,Camp Nou,La Liga,Barcelona,Cesar,Barcelona,,
02-03-1952,Camp Nou,La Liga,Barcelona,Cesar,Barcelona,,
02-03-1952,Camp Nou,La Liga,Barcelona,Olsen,Real Madrid,,
02-03-1952,Camp Nou,La Liga,Barcelona,Arsuaga,Real Madrid,,
23-11-1952,Santiago Bernabeu Stadium,La Liga,Real Madrid,Manchon,Barcelona,,
23-11-1952,Santiago Bernabeu Stadium,La Liga,Real Madrid,Arsuaga,Real Madrid,,
23-11-1952,Santiago Bernabeu Stadium,La Liga,Real Madrid,Arsuaga,Real Madrid,,
05-04-1953,Camp Nou,La Liga,Barcelona,Moreno,Barcelona,,
25-10-1953,Santiago Bernabeu Stadium,La Liga,Real Madrid,Stefano,Real Madrid,,
25-10-1953,Santiago Bernabeu Stadium,La Liga,Real Madrid,Stefano,Real Madrid,,
25-10-1953,Santiago Bernabeu Stadium,La Liga,Real Madrid,Olsen,Real Madrid,,
25-10-1953,Santiago Bernabeu Stadium,La Liga,Real Madrid,Olsen,Real Madrid,,
25-10-1953,Santiago Bernabeu Stadium,La Liga,Real Madrid,Molowny,Real Madrid,,
21-02-1954,Camp Nou,La Liga,Barcelona,Tejada,Barcelona,,
21-02-1954,Camp Nou,La Liga,Barcelona,Tejada,Barcelona,,
21-02-1954,Camp Nou,La Liga,Barcelona,Cesar,Barcelona,,
21-02-1954,Camp Nou,La Liga,Barcelona,Moreno,Barcelona,,
21-02-1954,Camp Nou,La Liga,Barcelona,Manchon,Barcelona,,
21-02-1954,Camp Nou,La Liga,Barcelona,Stefano,Real Madrid,,
06-06-1954,Santiago Bernabeu Stadium,Copa Del Rey,Real Madrid,Mateos,Real Madrid,,
13-06-1954,Camp Nou,Copa Del Rey,Barcelona,Cesar,Barcelona,,
13-06-1954,Camp Nou,Copa Del Rey,Barcelona,Cesar,Barcelona,,
13-06-1954,Camp Nou,Copa Del Rey,Barcelona,Biosca,Barcelona,,
13-06-1954,Camp Nou,Copa Del Rey,Barcelona,Paya,Real Madrid,,
21-11-1954,Santiago Bernabeu Stadium,La Liga,Real Madrid,Stefano,Real Madrid,,
21-11-1954,Santiago Bernabeu Stadium,La Liga,Real Madrid,Rial,Real Madrid,,
21-11-1954,Santiago Bernabeu Stadium,La Liga,Real Madrid,Joseito,Real Madrid,,
06-03-1955,Camp Nou,La Liga,Draw,Basora,Barcelona,,
06-03-1955,Camp Nou,La Liga,Draw,Moll,Barcelona,,
06-03-1955,Camp Nou,La Liga,Draw,Gento,Real Madrid,,
06-03-1955,Camp Nou,La Liga,Draw,Gento,Real Madrid,,
13-11-1955,Santiago Bernabeu Stadium,La Liga,Real Madrid,Areta,Barcelona,,
13-11-1955,Santiago Bernabeu Stadium,La Liga,Real Madrid,Rial,Real Madrid,,
13-11-1955,Santiago Bernabeu Stadium,La Liga,Real Madrid,Marquitos,Real Madrid,,
18-03-1956,Camp Nou,La Liga,Barcelona,Villaverde,Barcelona,,
18-03-1956,Camp Nou,La Liga,Barcelona,Villaverde,Barcelona,,
11-11-1956,Camp Nou,La Liga,Barcelona,Suarez,Barcelona,,
03-03-1957,Santiago Bernabeu Stadium,La Liga,Real Madrid,Joseito,Real Madrid,,
12-05-1957,Santiago Bernabeu Stadium,Copa Del Rey,Draw,Kubala,Barcelona,,
12-05-1957,Santiago Bernabeu Stadium,Copa Del Rey,Draw,Basora,Barcelona,,
12-05-1957,Santiago Bernabeu Stadium,Copa Del Rey,Draw,Di Stefano,Real Madrid,,
12-05-1957,Santiago Bernabeu Stadium,Copa Del Rey,Draw,Di Stefano,Real Madrid,,
19-05-1957,Camp Nou,Copa Del Rey,Barcelona,Eulogio Martinez,Barcelona,,
19-05-1957,Camp Nou,Copa Del Rey,Barcelona,Eulogio Martinez,Barcelona,,
19-05-1957,Camp Nou,Copa Del Rey,Barcelona,Eulogio Martinez,Barcelona,,
19-05-1957,Camp Nou,Copa Del Rey,Barcelona,Eulogio Martinez,Barcelona,,
19-05-1957,Camp Nou,Copa Del Rey,Barcelona,Kubala,Barcelona,,
19-05-1957,Camp Nou,Copa Del Rey,Barcelona,Villaverde,Barcelona,,
19-05-1957,Camp Nou,Copa Del Rey,Barcelona,,Barcelona,,Olivella
13-10-1957,Santiago Bernabeu Stadium,La Liga,Real Madrid,Kopa,Real Madrid,,
