Season,Round,Round.1,Home team,Away team,Score (FT/HT),Goals (home),Goals (away)
1959–60,Semi-finals,First leg,Real Madrid,Barcelona,3–1 (2–1),"Di Stéfano (17, 84), Puskás (28)",Martínez (37)
1959–60,Semi-finals,Second leg,Barcelona,Real Madrid,1–3 (1–1),Kocsis (89),"Puskás (25, 75), Gento (68)"
1960–61,First round,First leg,Real Madrid,Barcelona,2–2 (2–1),"Mateos (3), Gento (33)","Luis Suárez (27, 87 p.)"
1960–61,First round,Second leg,Barcelona,Real Madrid,2–1 (1–0),"Vergés (33), Evaristo (82)",Canário (87)
2001–02,Semi-finals,First leg,Barcelona,Real Madrid,0–2 (0–0),,"Zidane (55), McManaman (90+2)"
2001–02,Semi-finals,Second leg,Real Madrid,Barcelona,1–1 (1–0),Raúl (43),Helguera (49 o.g.)
2010–11,Semi-finals,First leg,Real Madrid,Barcelona,0–2 (0–0),,"Messi (77, 87)"
2010–11,Semi-finals,Second leg,Barcelona,Real Madrid,1–1 (0–0),Pedro (54),Marcelo (64)
