Date,Year,Barcelona_Goals,Real_Madrid_Goals,Winner
1990-12-12,1990,1,4,Real Madrid
1991-01-19,1991,2,1,Barcelona
1991-06-08,1991,0,1,Real Madrid
1991-10-18,1991,1,1,Draw
1992-03-07,1992,1,1,Draw
1992-09-05,1992,2,1,Barcelona
1993-01-30,1993,1,2,Real Madrid
1993-06-09,1993,1,1,Draw
1993-06-16,1993,1,2,Real Madrid
1993-12-02,1993,1,3,Real Madrid
1993-12-16,1993,1,1,Draw
1994-01-09,1994,5,0,Barcelona
1994-05-07,1994,1,0,Barcelona
1995-01-07,1995,0,5,Real Madrid
1995-05-27,1995,1,0,Barcelona
1995-09-30,1995,1,1,Draw
1996-02-10,1996,3,0,Barcelona
1996-12-07,1996,0,2,Real Madrid
1997-01-30,1997,3,2,Barcelona
1997-02-06,1997,1,1,Draw
1997-05-10,1997,1,0,Barcelona
1997-08-20,1997,2,1,Barcelona
1997-08-23,1997,1,4,Real Madrid
1997-11-01,1997,3,2,Barcelona
1998-03-07,1998,3,0,Barcelona
1998-09-19,1998,2,2,Draw
1999-02-14,1999,3,0,Barcelona
1999-10-13,1999,2,2,Draw
2000-02-26,2000,0,3,Real Madrid
2000-10-21,2000,2,0,Barcelona
2001-03-03,2001,2,2,Draw
2001-11-04,2001,0,2,Real Madrid
2002-03-16,2002,1,1,Draw
2002-04-23,2002,0,2,Real Madrid
2002-05-01,2002,1,1,Draw
2002-11-23,2002,0,0,Draw
2003-04-19,2003,1,1,Draw
2003-12-06,2003,1,2,Real Madrid
2004-04-25,2004,2,1,Barcelona
2004-11-20,2004,3,0,Barcelona
2005-04-10,2005,2,4,Real Madrid
2005-11-19,2005,3,0,Barcelona
2006-04-02,2006,1,1,Draw
2006-10-22,2006,0,2,Real Madrid
2007-03-10,2007,3,3,Draw
2007-12-23,2007,0,1,Real Madrid
2008-05-07,2008,1,4,Real Madrid
2008-12-13,2008,2,0,Barcelona
2009-05-02,2009,6,2,Barcelona
2009-11-29,2009,1,0,Barcelona
2010-04-10,2010,2,0,Barcelona
2010-11-29,2010,5,0,Barcelona
2011-04-16,2011,1,1,Draw
2011-04-20,2011,0,1,Real Madrid
2011-04-27,2011,2,0,Barcelona
2011-05-03,2011,1,1,Draw
2011-08-14,2011,2,2,Draw
2011-08-17,2011,3,2,Barcelona
2011-12-10,2011,3,1,Barcelona
2012-01-18,2012,2,1,Barcelona
2012-01-25,2012,2,2,Draw
2012-04-21,2012,1,2,Real Madrid
2012-08-23,2012,3,2,Barcelona
2012-08-29,2012,1,2,Real Madrid
2012-10-07,2012,2,2,Draw
2013-01-30,2013,1,1,Draw
2013-02-26,2013,1,3,Real Madrid
2013-03-02,2013,1,2,Real Madrid
2013-10-26,2013,2,1,Barcelona
2014-03-23,2014,4,3,Barcelona
2014-04-16,2014,1,2,Real Madrid
2014-10-25,2014,1,3,Real Madrid
2015-03-22,2015,2,1,Barcelona
2015-11-21,2015,4,0,Barcelona
2016-04-02,2016,1,2,Real Madrid
2016-12-03,2016,1,1,Draw
2017-04-23,2017,3,2,Barcelona
2017-08-13,2017,1,3,Real Madrid
2017-08-16,2017,0,2,Real Madrid
2017-12-23,2017,3,0,Barcelona
2018-05-06,2018,2,2,Draw
2018-10-28,2018,5,1,Barcelona
2019-02-06,2019,1,1,Draw
2019-02-27,2019,3,0,Barcelona
2019-03-02,2019,1,0,Barcelona
2019-12-18,2019,0,0,Draw
2020-03-01,2020,0,2,Real Madrid
2020-10-24,2020,1,3,Real Madrid
2021-04-10,2021,1,2,Real Madrid
2021-10-24,2021,1,2,Real Madrid
2022-01-12,2022,2,3,Real Madrid
2022-03-20,2022,4,0,Barcelona
2022-10-16,2022,1,3,Real Madrid
2023-01-15,2023,3,1,Barcelona
2023-03-02,2023,1,0,Barcelona
2023-03-19,2023,2,1,Barcelona
2023-04-05,2023,0,4,Real Madrid
2023-10-28,2023,1,2,Real Madrid
2024-01-14,2024,1,4,Real Madrid
2024-04-21,2024,2,3,Real Madrid
2024-10-26,2024,4,0,Barcelona
2025-01-12,2025,5,2,Barcelona
